sequence,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,timestamp
73,-22.15,-49.48,-48.86,-198.22,0,0,0, 01:45:02.035,1.55E+12
74,109.8,80.51,84,-115.27,0,0,0, 01:45:02.035,1.55E+12
75,-226.83,-171,-202.97,-289.18,0,0,0, 01:45:02.051,1.55E+12
76,-159.64,-148.95,-154.95,-275.74,0,0,0, 01:45:02.051,1.55E+12
77,140.44,100.5,120.85,-101.85,0,0,0, 01:45:02.052,1.55E+12
78,-122.4,-88.6,-104.25,-239.38,0,0,0, 01:45:02.052,1.55E+12
79,-264.99,-224.64,-239.08,-318.09,0,0,0, 01:45:02.066,1.55E+12
80,78.22,51.08,60.21,-123.25,0,0,0, 01:45:02.066,1.55E+12
81,22.98,23.25,18.63,-159,0,0,0, 01:45:02.081,1.55E+12
82,-291.9,-242.01,-271.1,-334.82,0,0,0, 01:45:02.081,1.55E+12
83,-15.23,-48.45,-28.49,-196.37,0,0,0, 01:45:02.083,1.55E+12
84,105.35,77.3,95.61,-119.59,0,0,0, 01:45:02.083,1.55E+12
85,-229.85,-170.9,-208.62,-280.01,0,0,0, 01:45:02.095,1.55E+12
86,-169.41,-158.3,-145.19,-263.73,0,0,0, 01:45:02.095,1.55E+12
87,146.45,101.11,125.1,-92.94,0,0,0, 01:45:02.111,1.55E+12
88,-124.23,-95.07,-113.34,-232.87,0,0,0, 01:45:02.111,1.55E+12
89,-248.16,-219.96,-220.15,-303.38,0,0,0, 01:45:02.112,1.55E+12
90,82.14,43.16,69.82,-125.34,0,0,0, 01:45:02.112,1.55E+12
91,23.77,34.37,23.56,-147.56,0,0,0, 01:45:02.125,1.55E+12
92,-285.1,-223.01,-245.54,-303.71,0,0,0, 01:45:02.125,1.55E+12
93,-10.1,-31.51,-7.26,-175.84,0,0,0, 01:45:02.141,1.55E+12
94,109.57,91.56,97,-102.23,0,0,0, 01:45:02.141,1.55E+12
95,-230.97,-173.92,-198.64,-269.82,0,0,0, 01:45:02.142,1.55E+12
96,-156.68,-148.35,-145.44,-256.88,0,0,0, 01:45:02.142,1.55E+12
97,149.74,99.04,117.26,-93.38,0,0,0, 01:45:02.155,1.55E+12
98,-125.45,-84.47,-106.74,-218.76,0,0,0, 01:45:02.155,1.55E+12
99,-251.12,-209.08,-232.75,-281.7,0,0,0, 01:45:02.188,1.55E+12
100,93.73,54.78,71.33,-102.14,0,0,0, 01:45:02.188,1.55E+12
101,31.15,27.31,27.89,-132.63,0,0,0, 01:45:02.189,1.55E+12
102,-277.19,-221.79,-248.45,-295.72,0,0,0, 01:45:02.189,1.55E+12
103,-7.24,-31.28,-14.62,-158.18,0,0,0, 01:45:02.190,1.55E+12
104,117.72,81.3,87.79,-86.92,0,0,0, 01:45:02.190,1.55E+12
105,-212.81,-165.84,-191.57,-256.45,0,0,0, 01:45:02.191,1.55E+12
106,-152.1,-142.42,-140.9,-232.89,0,0,0, 01:45:02.191,1.55E+12
107,154.46,116.86,132.61,-65.66,0,0,0, 01:45:02.201,1.55E+12
108,-105.15,-70.31,-96.11,-190.35,0,0,0, 01:45:02.201,1.55E+12
109,-241.55,-214.44,-203.58,-278.68,0,0,0, 01:45:02.215,1.55E+12
110,93.12,43.86,73.01,-106.2,0,0,0, 01:45:02.216,1.55E+12
111,21,18.07,20.35,-134.27,0,0,0, 01:45:02.231,1.55E+12
112,-283.09,-223.43,-255.56,-292.82,0,0,0, 01:45:02.231,1.55E+12
113,0.27,-31.19,-2.25,-156.45,0,0,0, 01:45:02.233,1.55E+12
114,124.51,104.79,113.58,-80.68,0,0,0, 01:45:02.233,1.55E+12
115,-217.28,-160.65,-192.36,-257.17,0,0,0, 01:45:02.245,1.55E+12
116,-156.73,-149.35,-134.98,-242.38,0,0,0, 01:45:02.245,1.55E+12
117,151.23,105.58,135.13,-65.58,0,0,0, 01:45:02.261,1.55E+12
118,-111.33,-80.52,-103.46,-203.25,0,0,0, 01:45:02.261,1.55E+12
119,-244.95,-204.58,-218.67,-284.14,0,0,0, 01:45:02.263,1.55E+12
120,100.45,57.98,76.86,-101.49,0,0,0, 01:45:02.263,1.55E+12
121,30.5,26.59,31.14,-120.58,0,0,0, 01:45:02.275,1.55E+12
122,-280.65,-218.01,-247.31,-291.64,0,0,0, 01:45:02.275,1.55E+12
123,3.76,-24.34,-6.54,-148.05,0,0,0, 01:45:02.291,1.55E+12
124,128.11,100.85,114.11,-63.05,0,0,0, 01:45:02.291,1.55E+12
125,-205.11,-163.35,-196.51,-243.46,0,0,0, 01:45:02.293,1.55E+12
126,-144.43,-133.51,-132.77,-213.07,0,0,0, 01:45:02.293,1.55E+12
127,174.69,114.13,141.51,-55.19,0,0,0, 01:45:02.305,1.55E+12
128,-119.49,-80.09,-95.34,-193.7,0,0,0, 01:45:02.305,1.55E+12
129,-235.16,-195.79,-200.21,-259.85,0,0,0, 01:45:02.321,1.55E+12
130,99.59,66.53,83.5,-90.73,0,0,0, 01:45:02.321,1.55E+12
131,29.78,34.92,31.03,-101.29,0,0,0, 01:45:02.324,1.55E+12
132,-264.41,-217.2,-233.08,-262,0,0,0, 01:45:02.324,1.55E+12
133,22.4,-4.99,5.04,-119.82,0,0,0, 01:45:02.336,1.55E+12
134,128.1,102.94,118.13,-58.87,0,0,0, 01:45:02.336,1.55E+12
135,-197.15,-155.45,-180.24,-224.08,0,0,0, 01:45:02.351,1.55E+12
136,-131.96,-120.91,-116.79,-212.18,0,0,0, 01:45:02.351,1.55E+12
137,158.7,119.59,146.66,-33.7,0,0,0, 01:45:02.353,1.55E+12
138,-111.92,-76.99,-108.3,-170.57,0,0,0, 01:45:02.353,1.55E+12
139,-218.89,-189.1,-196.85,-238.46,0,0,0, 01:45:02.365,1.55E+12
140,112.58,74.16,100.21,-69.61,0,0,0, 01:45:02.365,1.55E+12
141,38.23,39.9,44.14,-84.45,0,0,0, 01:45:02.384,1.55E+12
142,-265.71,-205.86,-234.75,-263.14,0,0,0, 01:45:02.384,1.55E+12
143,21.82,-12.23,11.03,-125.69,0,0,0, 01:45:02.386,1.55E+12
144,131.01,99.18,108.89,-57.17,0,0,0, 01:45:02.386,1.55E+12
145,-201.92,-163.66,-169.05,-229.66,0,0,0, 01:45:02.396,1.55E+12
146,-130.79,-135.25,-125.49,-210.28,0,0,0, 01:45:02.396,1.55E+12
147,172.59,126.2,141.97,-25.01,0,0,0, 01:45:02.411,1.55E+12
148,-105.45,-72.17,-79.62,-167.1,0,0,0, 01:45:02.411,1.55E+12
149,-218.57,-192.08,-195.4,-238.36,0,0,0, 01:45:02.426,1.55E+12
150,121.2,83.51,100.19,-44.76,0,0,0, 01:45:02.426,1.55E+12
151,44.9,44.04,39.74,-85.22,0,0,0, 01:45:02.428,1.55E+12
152,-260.93,-199.58,-226.54,-249.17,0,0,0, 01:45:02.428,1.55E+12
153,10.84,-10.38,10.85,-116.75,0,0,0, 01:45:02.441,1.55E+12
154,131.21,94.1,109.52,-50.16,0,0,0, 01:45:02.441,1.55E+12
155,-203.9,-158.97,-167.69,-214.26,0,0,0, 01:45:02.444,1.55E+12
156,-119.2,-112.06,-124.72,-185.65,0,0,0, 01:45:02.444,1.55E+12
157,174.31,120.88,142.29,-26.39,0,0,0, 01:45:02.455,1.55E+12
158,-103.36,-66.11,-77.21,-148.69,0,0,0, 01:45:02.455,1.55E+12
159,-213.02,-170.94,-184.96,-212.91,0,0,0, 01:45:02.471,1.55E+12
160,123.36,72.29,115.15,-44.6,0,0,0, 01:45:02.471,1.55E+12
161,38.35,34.44,35.09,-79.51,0,0,0, 01:45:02.472,1.55E+12
162,-263.39,-211.25,-228.92,-234.28,0,0,0, 01:45:02.472,1.55E+12
163,27.8,6.22,19.16,-92.07,0,0,0, 01:45:02.485,1.55E+12
164,134.11,114.8,107.7,-25.74,0,0,0, 01:45:02.485,1.55E+12
165,-193.25,-148.95,-171.09,-208.86,0,0,0, 01:45:02.501,1.55E+12
166,-119.39,-110.21,-109.95,-171.85,0,0,0, 01:45:02.501,1.55E+12
167,174.82,135.03,145.5,-10.72,0,0,0, 01:45:02.502,1.55E+12
168,-102.09,-71.18,-71.89,-145.42,0,0,0, 01:45:02.502,1.55E+12
169,-218.55,-183.41,-198.41,-224.74,0,0,0, 01:45:02.515,1.55E+12
170,120.01,73.71,99.05,-46.65,0,0,0, 01:45:02.515,1.55E+12
171,50.86,48.37,56.85,-60.29,0,0,0, 01:45:02.531,1.55E+12
172,-256.03,-202.18,-225.06,-228.9,0,0,0, 01:45:02.531,1.55E+12
173,33.53,4.71,15.65,-82.62,0,0,0, 01:45:02.532,1.55E+12
174,144.93,114.59,128.41,-20.05,0,0,0, 01:45:02.532,1.55E+12
175,-189.58,-147.65,-162.77,-195.57,0,0,0, 01:45:02.545,1.55E+12
176,-114.72,-109.68,-110.93,-158.35,0,0,0, 01:45:02.545,1.55E+12
177,182.74,137.74,168.42,8.38,0,0,0, 01:45:02.562,1.55E+12
178,-91.52,-56.31,-74.21,-119.55,0,0,0, 01:45:02.562,1.55E+12
179,-215.69,-172.48,-186.27,-204.19,0,0,0, 01:45:02.565,1.55E+12
180,125.57,98.18,107.43,-25.61,0,0,0, 01:45:02.566,1.55E+12
181,55.69,58.81,35.92,-57.69,0,0,0, 01:45:02.576,1.55E+12
182,-247.36,-200.75,-229.41,-225.4,0,0,0, 01:45:02.576,1.55E+12
183,40.8,11.32,27.19,-83.98,0,0,0, 01:45:02.591,1.55E+12
184,147.17,114.57,113.23,-9.73,0,0,0, 01:45:02.591,1.55E+12
185,-200.1,-158.09,-183.52,-200.21,0,0,0, 01:45:02.594,1.55E+12
186,-118.95,-114.15,-112.35,-175.59,0,0,0, 01:45:02.594,1.55E+12
187,168.94,121.43,133.1,-11.43,0,0,0, 01:45:02.605,1.55E+12
188,-96.71,-63.99,-86.73,-142.33,0,0,0, 01:45:02.605,1.55E+12
189,-221.3,-185.78,-194.85,-215.1,0,0,0, 01:45:02.621,1.55E+12
190,147.29,109,130.04,-1.83,0,0,0, 01:45:02.621,1.55E+12
191,75.03,61.99,70.1,-37.27,0,0,0, 01:45:02.623,1.55E+12
192,-244.23,-196.47,-213.51,-215.46,0,0,0, 01:45:02.623,1.55E+12
193,41.47,6.53,27.11,-78.06,0,0,0, 01:45:02.636,1.55E+12
194,137.5,113.39,118.98,-16.55,0,0,0, 01:45:02.636,1.55E+12
195,-202.67,-159.78,-174.78,-196.74,0,0,0, 01:45:02.651,1.55E+12
196,-113.38,-114.39,-101.58,-160.31,0,0,0, 01:45:02.651,1.55E+12
197,181.04,140.09,174.77,0.42,0,0,0, 01:45:02.653,1.55E+12
198,-89.5,-56.01,-85.2,-129.27,0,0,0, 01:45:02.653,1.55E+12
199,-211.99,-169.66,-176.7,-200.32,0,0,0, 01:45:02.675,1.55E+12
200,140.74,84.33,115.31,-26.5,0,0,0, 01:45:02.675,1.55E+12
0,45.82,54.16,36.6,-56.72,0,0,0, 01:45:02.677,1.55E+12
1,-256.9,-200.14,-221.48,-224.89,0,0,0, 01:45:02.681,1.55E+12
2,34.46,8.53,19.41,-77.23,0,0,0, 01:45:02.681,1.55E+12
